label,kind,bearing_deg,design_distance_m,ground_truth_m,sensed_range_m,bias_m
wall,wall,0.0,2.0,1.974673867225647,1.9746739625930787,9.536743172944284e-08
corner_edge,corner_edge,-45.0,1.5,1.3297158479690552,1.329715943336487,9.536743172944284e-08
cylinder,cylinder,45.0,2.5,2.3501546382904053,2.3502069473266602,5.230903625497163e-05
thin_post,thin_post,100.0,1.0,0.9401797652244568,0.9402066230773926,2.685785293576881e-05
